"species","group","common_name_division_bgr","turf_subcanopy_canopy_algae","macrophyte","leathery","corticated","foliose","crustose","articulated","calcareous","body_size_avg_bin","benthic","epibiotic","intertidal","subtidal"
"Prasiola stipitata","Algae","Green Algae","Turf","no","no","no","yes","no","no","no","small-medium","yes","no","yes","no"
"Hildenbrandia rubra","Algae","Red Algae","Turf","no","no","no","no","yes","no","no","medium","yes","no","yes","yes"
"Ascophyllum nodosum","Algae","Brown Algae","Canopy","yes","yes","no","no","no","no","no","large","no","yes","yes","yes"
"Chordaria flagelliformis","Algae","Brown Algae","Turf","no","no","yes","yes","no","no","no","large","no","yes","yes","yes"
"Fucus vesiculosus","Algae","Brown Algae","Subcanopy","yes","yes","no","no","no","no","no","large","yes","no","yes","no"
"Chondrus crispus","Algae","Red Algae","Subcanopy","yes","no","yes","no","no","no","no","medium","yes","no","yes","yes"
"Mastocarpus stellatus","Algae","Red Algae","Subcanopy","yes","no","yes","no","no","no","no","medium","yes","no","yes","yes"
"Codium fragile","Algae","Green Algae","Subcanopy","no","no","yes","yes","no","no","no","medium-large","yes","no","yes","yes"
"Fucus distichus","Algae","Brown Algae","Subcanopy","yes","yes","no","no","no","no","no","large","yes","no","yes","no"
"Ulva lactuca","Algae","Green Algae","Turf","no","no","no","yes","no","no","no","medium-large","yes","yes","yes","no"
"Polysiphonia","Algae","Red Algae","Turf","no","no","no","no","no","no","no","medium-large","yes","yes","yes","yes"
"Elachista fucicola","Algae","Brown Algae","Turf","no","no","no","no","no","no","no","small-medium","no","yes","yes","no"
"Leathesia marina","Algae","Brown Algae","Subcanopy","no","no","no","no","no","no","no","medium","yes","yes","yes","yes"
"Chaetomorpha ligustica","Algae","Green Algae","Turf","no","no","yes","yes","no","no","no","large","no","yes","yes","yes"
"Porphyra","Algae","Red Algae","Turf","no","no","no","yes","no","no","no","large","yes","no","yes","yes"
"Ceramium virgatum","Algae","Red Algae","Subcanopy","yes","no","yes","no","no","no","no","medium-large","yes","yes","yes","yes"
"Alaria esculenta","Algae","Brown Algae","Canopy","yes","yes","no","no","no","no","no","very large","no","yes","yes","yes"
"Ulva intestinalis","Algae","Green Algae","Turf","no","no","no","yes","no","no","no","medium","yes","yes","yes","no"
"Corallina officinalis","Algae","Red Algae","Turf","no","no","yes","yes","no","yes","yes","medium","yes","yes","yes","no"
"Dumontia contorta","Algae","Red Algae","Subcanopy","yes","no","yes","no","no","no","no","medium","no","yes","no","yes"
"Bonnemaisonia hamifera","Algae","Red Algae","Turf","no","no","no","no","no","no","no","medium-large","yes","yes","yes","yes"
"Phymatolithon lenormandii","Algae","Red Algae","Turf","no","no","no","no","yes","no","no","medium","yes","yes","yes","no"
"Clathromorphum circumscriptum","Algae","Red Algae","Turf","no","no","no","no","yes","no","no","unknown","yes","no","yes","yes"
"Ahnfeltia plicata","Algae","Green Algae","Subcanopy","yes","no","yes","no","no","no","no","medium","yes","no","yes","yes"
"Plumaria plumosa","Algae","Red Algae","Turf","yes","no","yes","no","no","no","no","medium","yes","yes","yes","yes"
"Saccharina latissima","Algae","Brown Algae","Canopy","yes","yes","no","no","no","no","no","very large","yes","yes","yes","yes"
"Spongomorpha aeruginosa","Algae","Green Algae","Turf","no","no","no","no","no","no","no","small-medium","no","yes","yes","no"
"Pylaiella littoralis","Algae","Brown Algae","Turf","no","no","no","no","no","no","no","medium","yes","yes","yes","yes"
"Cystoclonium purpureum","Algae","Red Algae","Subcanopy","yes","no","yes","no","no","no","no","large","yes","no","yes","yes"
